JDAY,DLT(s),ELWS(m),T2(C),U(ms-1),Q(m3s-1),SRON(Wm-2),EXT(m-1),DEPTH(m),WIDTH(m),SHADE,ICETH(m),Tvolavg(C),NetRad(Wm-2),SWSolar(Wm-2),LWRad(Wm-2),BackRad(Wm-2),EvapF(Wm-2),ConducF(Wm-2),ReaerationCoeff(day-1),     MAC,
 14679.000,  3040.720,   301.207,     4.129,     0.000,     0.000,     0.000,     0.250,   125.647,  1476.900,     1.000,     0.000,     4.370,   -28.639,     0.000,   297.205,   331.750,    12.562,   -18.468,     0.000,         0.000,
 14680.000,  1478.983,   301.385,     4.132,     0.000,     0.000,     0.000,     0.250,   125.825,  1476.900,     1.000,     0.000,     4.238,   -95.143,     0.000,   258.172,   327.744,    25.162,     0.409,     0.000,         0.000,
 14681.000,  3600.000,   301.551,     4.146,     0.000,     0.000,     0.000,     0.250,   125.991,  1476.900,     1.000,     0.000,     4.333,  -106.510,     0.000,   253.349,   328.134,    25.027,     6.698,     0.000,         0.000,
 14682.000,  1034.201,   301.692,     4.168,     0.000,     0.000,     0.000,     0.250,   126.132,  1491.100,     1.000,     0.000,     4.489,  -122.742,     0.000,   246.090,   329.923,    32.413,     6.496,     0.000,         0.000,
 14683.000,   995.457,   301.827,     4.170,     0.000,     0.000,     0.000,     0.250,   126.267,  1491.100,     1.000,     0.000,     4.625,   -54.603,     0.000,   288.482,   330.643,    20.367,    -7.925,     0.000,         0.000,
 14684.000,  2149.662,   301.952,     4.156,     0.000,     0.000,     0.000,     0.250,   126.392,  1491.100,     1.000,     0.000,     4.837,   -59.077,     0.000,   276.418,   332.968,    12.337,    -9.810,     0.000,         0.000,
 14685.000,    11.173,   302.081,     4.150,     0.000,     0.000,     0.000,     0.250,   126.521,  1491.100,     1.000,     0.000,     4.956,   -11.138,     0.000,   318.050,   334.685,    20.355,   -25.851,     0.000,         0.000,
 14686.000,  2103.972,   302.220,     4.148,     0.000,     0.000,     0.000,     0.250,   126.660,  1491.100,     1.000,     0.000,     5.194,    -5.230,     0.000,   309.215,   338.602,     2.454,   -26.611,     0.000,         0.000,
 14687.000,  1335.954,   302.338,     4.155,     0.000,     0.000,     0.000,     0.250,   126.778,  1491.100,     1.000,     0.000,     5.118,   -36.974,     0.000,   292.874,   342.317,     8.815,   -21.284,     0.000,         0.000,
 14688.000,   863.074,   302.457,     4.181,     0.000,     0.000,     0.000,     0.250,   126.897,  1491.100,     1.000,     0.000,     5.115,   -21.925,     0.000,   308.082,   345.202,     8.710,   -23.905,     0.000,         0.000,
 14689.000,  1955.316,   302.580,     4.185,     0.000,     0.000,     0.000,     0.250,   127.020,  1491.100,     1.000,     0.000,     5.003,   -60.271,     0.000,   284.534,   347.732,    14.843,   -17.770,     0.000,         0.000,
