JDAY,DLT(s),ELWS(m),T2(C),U(ms-1),Q(m3s-1),SRON(Wm-2),EXT(m-1),DEPTH(m),WIDTH(m),SHADE,ICETH(m),Tvolavg(C),NetRad(Wm-2),SWSolar(Wm-2),LWRad(Wm-2),BackRad(Wm-2),EvapF(Wm-2),ConducF(Wm-2),ReaerationCoeff(day-1),     MAC,
 19959.000,   422.359,   329.156,     9.118,     0.006,     0.000,     0.000,     0.250,   153.596,  1868.000,     1.000,     0.000,    14.977,  -265.329,     0.000,   351.985,   441.248,   147.715,    28.350,     0.000,         0.000,
 19960.000,   254.944,   329.058,     9.126,     0.006,     0.000,     0.000,     0.250,   153.498,  1868.000,     1.000,     0.000,    15.015,  -248.364,     0.000,   354.057,   439.818,   140.751,    21.852,     0.000,         0.000,
 19961.000,   407.577,   328.987,     9.139,     0.005,     0.000,     0.000,     0.250,   153.427,  1868.000,     1.000,     0.000,    15.031,  -288.548,     0.000,   339.414,   438.976,   167.780,    21.207,     0.000,         0.000,
 19962.000,   198.005,   328.907,     9.161,     0.006,     0.000,     0.000,     0.250,   153.347,  1868.000,     1.000,     0.000,    15.050,  -295.668,     0.000,   331.399,   438.037,   165.545,    23.485,     0.000,         0.000,
 19963.000,   431.734,   328.792,     9.180,     0.007,     0.000,     0.000,     0.250,   153.232,  1868.000,     1.000,     0.000,    15.084,  -335.470,     0.000,   345.347,   437.224,   228.095,    15.497,     0.000,         0.000,
 19964.000,   474.196,   328.669,     9.171,     0.007,     0.000,     0.000,     0.250,   153.109,  1868.000,     1.000,     0.000,    15.096,  -268.440,     0.000,   372.014,   436.890,   209.435,    -5.871,     0.000,         0.000,
 19965.000,   295.818,   328.566,     9.194,     0.006,     0.000,     0.000,     0.250,   153.006,  1868.000,     1.000,     0.000,    15.144,  -231.575,     0.000,   375.107,   437.257,   175.947,    -6.522,     0.000,         0.000,
 19966.000,   461.761,   328.459,     9.231,     0.006,     0.000,     0.000,     0.250,   152.899,  1842.100,     1.000,     0.000,    15.200,  -231.229,     0.000,   372.136,   437.446,   170.490,    -4.570,     0.000,         0.000,
 19967.000,   432.633,   328.362,     9.220,     0.006,     0.000,     0.000,     0.250,   152.802,  1842.100,     1.000,     0.000,    15.232,  -243.553,     0.000,   365.793,   437.160,   172.192,    -0.007,     0.000,         0.000,
 19968.000,   367.766,   328.285,     9.238,     0.006,     0.000,     0.000,     0.250,   152.725,  1842.100,     1.000,     0.000,    15.239,  -248.831,     0.000,   363.273,   436.837,   175.060,     0.207,     0.000,         0.000,
 19969.000,   428.424,   328.219,     9.276,     0.006,     0.000,     0.000,     0.250,   152.659,  1842.100,     1.000,     0.000,    15.259,  -261.342,     0.000,   353.224,   436.397,   171.707,     6.463,     0.000,         0.000,
 19970.000,   447.281,   328.143,     9.274,     0.006,     0.000,     0.000,     0.250,   152.583,  1842.100,     1.000,     0.000,    15.282,  -429.517,     0.000,   327.659,   435.073,   287.708,    34.395,     0.000,         0.000,
 19971.000,   415.041,   328.048,     9.274,     0.006,     0.000,     0.000,     0.250,   152.488,  1842.100,     1.000,     0.000,    15.271,  -312.232,     0.000,   339.072,   433.550,   202.276,    15.478,     0.000,         0.000,
 19972.000,   284.853,   327.954,     9.311,     0.007,     0.000,     0.000,     0.250,   152.394,  1842.100,     1.000,     0.000,    15.299,  -252.787,     0.000,   358.162,   433.124,   177.294,     0.531,     0.000,         0.000,
 19973.000,   377.707,   327.860,     9.346,     0.007,     0.000,     0.000,     0.250,   152.300,  1842.100,     1.000,     0.000,    15.336,  -235.671,     0.000,   358.180,   433.079,   160.332,     0.440,     0.000,         0.000,
 19974.000,   379.123,   327.769,     9.346,     0.006,     0.000,     0.000,     0.250,   152.209,  1842.100,     1.000,     0.000,    15.370,  -223.899,     0.000,   366.890,   432.929,   162.734,    -4.873,     0.000,         0.000,
 19975.000,   386.832,   327.684,     9.367,     0.006,     0.000,     0.000,     0.250,   152.124,  1842.100,     1.000,     0.000,    15.410,  -210.139,     0.000,   375.844,   433.032,   162.564,    -9.614,     0.000,         0.000,
 19976.000,   369.215,   327.587,     9.415,     0.007,     0.000,     0.000,     0.250,   152.027,  1842.100,     1.000,     0.000,    15.437,  -216.840,     0.000,   374.025,   433.071,   166.447,    -8.653,     0.000,         0.000,
 19977.000,   133.811,   327.501,     9.416,     0.007,     0.000,     0.000,     0.250,   151.941,  1842.100,     1.000,     0.000,    15.459,  -232.911,     0.000,   360.512,   432.662,   161.503,    -0.743,     0.000,         0.000,
 19978.000,   365.895,   327.406,     9.439,     0.007,     0.000,     0.000,     0.250,   151.846,  1842.100,     1.000,     0.000,    15.484,  -236.534,     0.000,   362.127,   432.104,   167.282,    -0.724,     0.000,         0.000,
 19979.000,   428.397,   327.325,     9.459,     0.006,     0.000,     0.000,     0.250,   151.765,  1842.100,     1.000,     0.000,    15.487,  -183.639,     0.000,   401.046,   431.268,   156.289,    -2.872,     0.000,         0.000,
 19980.000,   373.765,   327.228,     9.492,     0.007,     0.000,     0.000,     0.250,   151.668,  1842.100,     1.000,     0.000,    15.505,  -274.938,     0.000,   333.062,   429.991,   163.025,    14.985,     0.000,         0.000,
 19981.000,   350.488,   327.145,     9.517,     0.006,     0.000,     0.000,     0.250,   151.585,  1842.100,     1.000,     0.000,    15.570,  -320.259,     0.000,   327.050,   428.896,   196.958,    21.455,     0.000,         0.000,
 19982.000,   433.379,   327.045,     9.531,     0.007,     0.000,     0.000,     0.250,   151.485,  1816.500,     1.000,     0.000,    15.597,  -288.960,     0.000,   343.206,   428.277,   196.452,     7.436,     0.000,         0.000,
 19983.000,   388.065,   326.956,     9.570,     0.006,     0.000,     0.000,     0.250,   151.396,  1816.500,     1.000,     0.000,    15.594,  -232.958,     0.000,   342.681,   427.984,   141.035,     6.619,     0.000,         0.000,
 19984.000,   481.942,   326.858,     9.629,     0.007,     0.000,     0.000,     0.250,   151.298,  1816.500,     1.000,     0.000,    15.586,  -254.602,     0.000,   337.166,   426.858,   155.505,     9.405,     0.000,         0.000,
 19985.000,   367.122,   326.755,     9.580,     0.007,     0.000,     0.000,     0.250,   151.195,  1816.500,     1.000,     0.000,    15.585,  -311.831,     0.000,   324.677,   425.257,   179.898,    31.352,     0.000,         0.000,
 19986.000,   413.751,   326.659,     9.629,     0.007,     0.000,     0.000,     0.250,   151.099,  1816.500,     1.000,     0.000,    15.597,  -325.822,     0.000,   301.955,   423.073,   160.020,    44.684,     0.000,         0.000,
 19987.000,   356.096,   326.581,     9.714,     0.007,     0.000,     0.000,     0.250,   151.021,  1816.500,     1.000,     0.000,    15.577,  -321.088,     0.000,   281.226,   421.550,   133.597,    47.166,     0.000,         0.000,
 19988.000,   290.973,   326.497,     9.727,     0.007,     0.000,     0.000,     0.250,   150.937,  1816.500,     1.000,     0.000,    15.630,  -333.238,     0.000,   294.817,   420.619,   170.306,    37.129,     0.000,         0.000,
 19989.000,   108.979,   326.430,     9.708,     0.006,     0.000,     0.000,     0.250,   150.870,  1816.500,     1.000,     0.000,    15.595,  -274.958,     0.000,   318.940,   420.077,   157.483,    16.338,     0.000,         0.000,
 19990.000,   423.362,   326.358,     9.763,     0.007,     0.000,     0.000,     0.250,   150.798,  1816.500,     1.000,     0.000,    15.638,  -245.822,     0.000,   326.886,   419.797,   142.958,     9.953,     0.000,         0.000,
 19991.000,   367.581,   326.281,     9.804,     0.007,     0.000,     0.000,     0.250,   150.721,  1816.500,     1.000,     0.000,    15.639,  -230.304,     0.000,   332.264,   419.277,   137.214,     6.076,     0.000,         0.000,
