STATION_ID,DURATION,SENSOR_NUMBER,SENSOR_TYPE,DATE TIME,OBS DATE,VALUE,DATA_FLAG,UNITS
SHD,H,25,TEMP W,19900905 1400,19900905 1400,---,,DEG F
SHD,H,25,TEMP W,19900905 1500,19900905 1500,---,,DEG F
SHD,H,25,TEMP W,19900905 1600,19900905 1600,---,,DEG F
SHD,H,25,TEMP W,19900905 1700,19900905 1700,---,,DEG F
SHD,H,25,TEMP W,19900905 1800,19900905 1800,---,,DEG F
SHD,H,25,TEMP W,19900905 1900,19900905 1900,---,,DEG F
SHD,H,25,TEMP W,19900905 2000,19900905 2000,---,,DEG F
SHD,H,25,TEMP W,19900905 2100,19900905 2100,---,,DEG F
SHD,H,25,TEMP W,19900905 2200,19900905 2200,---,,DEG F
SHD,H,25,TEMP W,19900905 2300,19900905 2300,---,,DEG F
SHD,H,25,TEMP W,19900906 0000,19900906 0000,---,,DEG F
SHD,H,25,TEMP W,19900906 0100,19900906 0100,---,,DEG F
SHD,H,25,TEMP W,19900906 0200,19900906 0200,---,,DEG F
SHD,H,25,TEMP W,19900906 0300,19900906 0300,---,,DEG F
SHD,H,25,TEMP W,19900906 0400,19900906 0400,---,,DEG F
SHD,H,25,TEMP W,19900906 0500,19900906 0500,---,,DEG F
SHD,H,25,TEMP W,19900906 0600,19900906 0600,---,,DEG F
SHD,H,25,TEMP W,19900906 0700,19900906 0700,---,,DEG F
SHD,H,25,TEMP W,19900906 0800,19900906 0800,---,,DEG F
SHD,H,25,TEMP W,19900906 0900,19900906 0900,---,,DEG F
SHD,H,25,TEMP W,19900906 1000,19900906 1000,---,,DEG F
SHD,H,25,TEMP W,19900906 1100,19900906 1100,---,,DEG F
SHD,H,25,TEMP W,19900906 1200,19900906 1200,---,,DEG F
SHD,H,25,TEMP W,19900906 1300,19900906 1300,---,,DEG F
SHD,H,25,TEMP W,19900906 1400,19900906 1400,---,,DEG F
SHD,H,25,TEMP W,19900906 1500,19900906 1500,---,,DEG F
SHD,H,25,TEMP W,19900906 1600,19900906 1600,---,,DEG F
SHD,H,25,TEMP W,19900906 1700,19900906 1700,---,,DEG F
SHD,H,25,TEMP W,19900906 1800,19900906 1800,---,,DEG F
SHD,H,25,TEMP W,19900906 1900,19900906 1900,---,,DEG F
SHD,H,25,TEMP W,19900906 2000,19900906 2000,---,,DEG F
SHD,H,25,TEMP W,19900906 2100,19900906 2100,---,,DEG F
SHD,H,25,TEMP W,19900906 2200,19900906 2200,---,,DEG F
SHD,H,25,TEMP W,19900906 2300,19900906 2300,---,,DEG F
SHD,H,25,TEMP W,19900907 0000,19900907 0000,---,,DEG F
SHD,H,25,TEMP W,19900907 0100,19900907 0100,---,,DEG F
SHD,H,25,TEMP W,19900907 0200,19900907 0200,---,,DEG F
SHD,H,25,TEMP W,19900907 0300,19900907 0300,---,,DEG F
SHD,H,25,TEMP W,19900907 0400,19900907 0400,---,,DEG F
SHD,H,25,TEMP W,19900907 0500,19900907 0500,---,,DEG F
SHD,H,25,TEMP W,19900907 0600,19900907 0600,---,,DEG F
SHD,H,25,TEMP W,19900907 0700,19900907 0700,---,,DEG F
SHD,H,25,TEMP W,19900907 0800,19900907 0800,---,,DEG F
SHD,H,25,TEMP W,19900907 0900,19900907 0900,---,,DEG F
SHD,H,25,TEMP W,19900907 1000,19900907 1000,---,,DEG F
SHD,H,25,TEMP W,19900907 1100,19900907 1100,---,,DEG F
SHD,H,25,TEMP W,19900907 1200,19900907 1200,---,,DEG F
