$bth_SHA.csv                                                         ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   Seg#,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55
1.5,0,0,0,0,51.1,33.1,59.4,108.3,104.1,182.9,218,186.8,359.5,191.6,178.8,134.6,295,350.2,317.2,324.2,182.3,536.5,753.5,910.5,696.1,292.3,300.4,1056.1,663.5,501.1,864,392,638.5,623.5,1274.4,1126.3,1500,1449.9,1604.2,1792,1441.7,1827.2,1555.2,1372.2,2072.7,918.4,935.6,1333.1,2384.6,1622.3,2039.7,2206,3293.6,1553.5,0
1.5,0,0,0,0,40.7,21.8,41.9,91,97.5,162.1,200.3,171.4,344.6,177.5,167.1,129.9,274.5,336.8,304.7,305.2,170.6,512.2,704.9,882.5,657.6,278.7,284.8,1016.7,651.4,489.8,850.1,383.7,631.2,606.8,1247.5,1104.3,1432.6,1437.1,1581.5,1762.2,1418.9,1790.4,1522.1,1356,2042.5,903.7,922.4,1305.9,2362.9,1592.8,2001,2167.7,3271.9,1537.7,0
1.5,0,0,0,0,0,13.9,25.7,75,92.2,142.6,184,157.2,331,164.7,156.6,126.4,255.3,324.8,293.6,287.5,160.3,489.2,657.5,855.8,620.3,266.4,270.5,978.6,640.6,479.7,837.4,376.7,625.1,591.4,1222,1083.5,1366.5,1425.5,1560.1,1733.6,1397.4,1754.9,1490.3,1341.1,2013.6,890.3,910.5,1279.9,2342.5,1564.7,1963.6,2130.7,3251.5,1523.2,0
1.5,0,0,0,0,0,0,8.1,57.7,85.6,121.9,166.3,141.8,316,150.6,144.9,121.7,234.9,311.5,281.1,268.5,148.7,465,608.9,827.9,581.8,252.8,255,939.2,628.5,468.3,823.4,368.4,617.8,574.8,1195.1,1061.4,1299,1412.7,1537.4,1703.8,1374.6,1718,1457.1,1325,1983.4,875.6,897.3,1252.7,2320.8,1535.2,1925,2092.4,3229.8,1507.4,0
1.5,0,0,0,0,0,0,0,40,78.5,100.6,148.2,125.9,300.6,136,132.6,116.4,213.9,297.6,268.1,249,136.6,440.2,559.8,799.4,542.7,238.8,238.9,899.2,615.9,456.4,809,359.6,610,557.6,1167.7,1038.8,1231.1,1399.3,1514.2,1673.5,1351.3,1680.7,1423.5,1308.3,1952.7,860.4,883.5,1224.9,2298.6,1505.3,1885.8,2053.6,3207.6,1491.1,0
1.5,0,0,0,0,0,0,0,23.7,73,82.3,132.6,111.4,280.2,123.7,122.6,110,198.1,285.8,253.7,233.6,128.2,416.1,515.1,767.4,510.1,228.1,226.8,858.9,600.5,446.2,787.9,348.2,594.5,544.1,1137.1,1014.2,1165.5,1377.9,1491,1646,1324.8,1642.4,1386.8,1288.6,1925.6,846.6,867.3,1200.6,2271.1,1477,1846.8,2016.6,3184.3,1476.9,0
1.5,0,0,0,0,0,0,0,9.6,69.6,69.4,120.7,99.2,252.3,114.5,115.9,101.9,190.2,277,237,224.2,125.4,393.2,477,730.1,487,222.5,220.6,817.9,580.9,438.4,756.9,332.9,567.5,536,1101.7,986.5,1103.5,1344.2,1467.5,1622.7,1293.3,1602.5,1345.4,1264.2,1903.8,834.7,847.3,1181.4,2235.7,1451.1,1808,1982.2,3159.1,1465.7,0
1.5,0,0,0,0,0,0,0,0,46.7,58.6,109.9,88.1,225.6,106.4,110.3,94.8,183.4,269.3,221.4,215.8,123.8,371.4,440.1,693.9,465.1,218,215.5,778,562.4,431.7,726.9,318.7,541.6,529.1,1067.3,959.9,1042.5,1311.7,1445.2,1600.5,1263,1563.7,1305.1,1240.8,1883,823.9,828.5,1163.2,2201.3,1426.3,1770.3,1948.9,3135.1,1455.7,0
1.5,0,0,0,0,0,0,0,0,0,43.9,100.3,78,199.9,99.5,105.8,88.8,177.7,262.7,207,208.6,123.2,350.7,404.2,658.7,444.2,214.6,211.5,739.2,544.9,426.1,698.1,305.6,516.9,523.2,1034,934.4,982.7,1280.3,1424,1579.4,1233.8,1526,1265.9,1218.6,1863.4,814.3,810.7,1146.2,2168,1402.6,1733.7,1916.8,3112.1,1446.8,0
1.5,0,0,0,0,0,0,0,0,0,30.5,88.9,66.3,172.6,90.8,99.6,81.1,170.2,254.4,190.8,199.7,120.9,328.2,366.7,621.9,421.7,209.5,205.8,698.7,525.8,418.8,667.5,290.8,490.4,515.7,999,907.1,921.2,1247.2,1401.1,1556.6,1202.9,1486.6,1225.1,1194.7,1842.1,802.9,791.2,1127.5,2133,1377.2,1695.4,1882.9,3087.5,1436.2,0
