 LAYERH,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
1.5,0,8.9,110.7,190.6,139.3,193.9,305.9,315.9,512.5,640.1,1567.5,1464.5,1864,1588.4,948.8,1360.3,1651.7,2078.4,2244.3,3315.3,1569.3,0,0,44.5,235.6,363.5,560.8,1095.5,1301.3,0,0,64.2,202.2,205.7,343.2,802.1,675.6,878,1148.4,1462.8,1388.4,0,0,0,76.9,203.7,374.5,315.5,329.7,938.5,734.7,645.8,1626.9,1821.8,2102.9,2406.3,0,0,0,125.6,400.3,933.1,0
1.5,0,0,104.1,178.8,134.6,182.3,292.3,300.4,501.1,623.5,1500,1441.7,1827.2,1555.2,935.6,1333.1,1622.3,2039.7,2206,3293.6,1553.5,0,0,33.1,218,350.2,536.5,1056.1,1274.4,0,0,51.1,186.8,191.6,324.2,753.5,663.5,864,1126.3,1449.9,1372.2,0,0,0,59.4,182.9,359.5,295,317.2,910.5,696.1,638.5,1604.2,1792,2072.7,2384.6,0,0,0,108.3,392,918.4,0
1.5,0,0,97.5,167.1,129.9,170.6,278.7,284.8,489.8,606.8,1432.6,1418.9,1790.4,1522.1,922.4,1305.9,1592.8,2001,2167.7,3271.9,1537.7,0,0,21.8,200.3,336.8,512.2,1016.7,1247.5,0,0,40.7,171.4,177.5,305.2,704.9,651.4,850.1,1104.3,1437.1,1356,0,0,0,41.9,162.1,344.6,274.5,304.7,882.5,657.6,631.2,1581.5,1762.2,2042.5,2362.9,0,0,0,91,383.7,903.7,0
1.5,0,0,92.2,156.6,126.4,160.3,266.4,270.5,479.7,591.4,1366.5,1397.4,1754.9,1490.3,910.5,1279.9,1564.7,1963.6,2130.7,3251.5,1523.2,0,0,13.9,184,324.8,489.2,978.6,1222,0,0,0,157.2,164.7,287.5,657.5,640.6,837.4,1083.5,1425.5,1341.1,0,0,0,25.7,142.6,331,255.3,293.6,855.8,620.3,625.1,1560.1,1733.6,2013.6,2342.5,0,0,0,75,376.7,890.3,0
1.5,0,0,85.6,144.9,121.7,148.7,252.8,255,468.3,574.8,1299,1374.6,1718,1457.1,897.3,1252.7,1535.2,1925,2092.4,3229.8,1507.4,0,0,0,166.3,311.5,465,939.2,1195.1,0,0,0,141.8,150.6,268.5,608.9,628.5,823.4,1061.4,1412.7,1325,0,0,0,8.1,121.9,316,234.9,281.1,827.9,581.8,617.8,1537.4,1703.8,1983.4,2320.8,0,0,0,57.7,368.4,875.6,0
1.5,0,0,78.5,132.6,116.4,136.6,238.8,238.9,456.4,557.6,1231.1,1351.3,1680.7,1423.5,883.5,1224.9,1505.3,1885.8,2053.6,3207.6,1491.1,0,0,0,148.2,297.6,440.2,899.2,1167.7,0,0,0,125.9,136,249,559.8,615.9,809,1038.8,1399.3,1308.3,0,0,0,0,100.6,300.6,213.9,268.1,799.4,542.7,610,1514.2,1673.5,1952.7,2298.6,0,0,0,40,359.6,860.4,0
1.5,0,0,73,122.6,110,128.2,228.1,226.8,446.2,544.1,1165.5,1324.8,1642.4,1386.8,867.3,1200.6,1477,1846.8,2016.6,3184.3,1476.9,0,0,0,132.6,285.8,416.1,858.9,1137.1,0,0,0,111.4,123.7,233.6,515.1,600.5,787.9,1014.2,1377.9,1288.6,0,0,0,0,82.3,280.2,198.1,253.7,767.4,510.1,594.5,1491,1646,1925.6,2271.1,0,0,0,23.7,348.2,846.6,0
1.5,0,0,69.6,115.9,101.9,125.4,222.5,220.6,438.4,536,1103.5,1293.3,1602.5,1345.4,847.3,1181.4,1451.1,1808,1982.2,3159.1,1465.7,0,0,0,120.7,277,393.2,817.9,1101.7,0,0,0,99.2,114.5,224.2,477,580.9,756.9,986.5,1344.2,1264.2,0,0,0,0,69.4,252.3,190.2,237,730.1,487,567.5,1467.5,1622.7,1903.8,2235.7,0,0,0,9.6,332.9,834.7,0
1.5,0,0,46.7,110.3,94.8,123.8,218,215.5,431.7,529.1,1042.5,1263,1563.7,1305.1,828.5,1163.2,1426.3,1770.3,1948.9,3135.1,1455.7,0,0,0,109.9,269.3,371.4,778,1067.3,0,0,0,88.1,106.4,215.8,440.1,562.4,726.9,959.9,1311.7,1240.8,0,0,0,0,58.6,225.6,183.4,221.4,693.9,465.1,541.6,1445.2,1600.5,1883,2201.3,0,0,0,0,318.7,823.9,0
1.5,0,0,0,105.8,88.8,123.2,214.6,211.5,426.1,523.2,982.7,1233.8,1526,1265.9,810.7,1146.2,1402.6,1733.7,1916.8,3112.1,1446.8,0,0,0,100.3,262.7,350.7,739.2,1034,0,0,0,78,99.5,208.6,404.2,544.9,698.1,934.4,1280.3,1218.6,0,0,0,0,43.9,199.9,177.7,207,658.7,444.2,516.9,1424,1579.4,1863.4,2168,0,0,0,0,305.6,814.3,0
1.5,0,0,0,99.6,81.1,120.9,209.5,205.8,418.8,515.7,921.2,1202.9,1486.6,1225.1,791.2,1127.5,1377.2,1695.4,1882.9,3087.5,1436.2,0,0,0,88.9,254.4,328.2,698.7,999,0,0,0,66.3,90.8,199.7,366.7,525.8,667.5,907.1,1247.2,1194.7,0,0,0,0,30.5,172.6,170.2,190.8,621.9,421.7,490.4,1401.1,1556.6,1842.1,2133,0,0,0,0,290.8,802.9,0
