"JDAY","QOUT","QOUT.1","QOUT.2","QOUT.3","QOUT.4"
17110,146.827305883938,0,0,0,0
17111,143.427305883938,0,0,0,0
17112,142.097305883938,0,0,0,0
17113,126.347305883938,0,0,0,0
17114,126.347305883938,0,0,0,0
17115,134.107305883938,0,0,0,0
17116,100.497305883938,0,0,0,0
17117,156.057305883938,0,0,0,0
17118,162.507305883938,0,0,0,0
17119,150.617305883938,0,0,0,0
17120,148.327305883938,0,0,0,0
17121,147.867305883938,0,0,0,0
17122,127.507305883938,0,0,0,0
17123,131.847305883938,0,0,0,0
17124,144.357305883938,0,0,0,0
17125,124.937305883938,0,0,0,0
17126,82.2873058839382,0,0,0,0
17127,136.287305883938,0,0,0,0
17128,135.047305883938,0,0,0,0
17129,142.517305883938,0,0,0,0
17130,144.527305883938,0,0,0,0
17131,135.947305883938,0,0,0,0
17132,144.497305883938,0,0,0,0
17133,148.577305883938,0,0,0,0
17134,137.597305883938,0,0,0,0
17135,131.137305883938,0,0,0,0
17136,128.927305883938,0,0,0,0
17137,134.987305883938,0,0,0,0
17138,131.197305883938,0,0,0,0
17139,137.877305883938,0,0,0,0
17140,137.027305883938,0,0,0,0
17141,129.547305883938,0,0,0,0
17142,127.117305883938,0,0,0,0
17143,214.897305883938,0,0,0,0
17144,263.437305883938,0,0,0,0
17145,321.367305883938,0,0,0,0
17146,631.017305883938,0,0,0,0
17147,839.457305883938,0,0,0,0
17148,898.977305883938,0,0,0,0
17149,764.927305883938,0,0,0,0
17150,846.107305883938,0,0,0,0
17151,689.287305883938,0,0,0,0
17152,586.047305883938,0,0,0,0
17153,533.627305883938,0,0,0,0
17154,464.027305883938,0,0,0,0
17155,468.727305883938,0,0,0,0
17156,464.967305883938,0,0,0,0
17157,465.617305883938,0,0,0,0
17158,447.687305883938,0,0,0,0
17159,422.747305883938,0,0,0,0
17160,353.367305883938,0,0,0,0
17161,310.717305883938,0,0,0,0
17162,278.897305883938,0,0,0,0
17163,501.377305883938,0,0,0,0
17164,687.477305883938,0,0,0,0
17165,1034.80730588394,0,0,0,0
17166,1153.08730588394,0,0,0,0
17167,597.057305883938,0,0,0,0
17168,234.037305883938,0,0,0,0
17169,1222.57730588394,0,0,0,0
17170,1837.59730588394,0,0,0,0
17171,2101.36730588394,0,0,0,0
17172,1777.19730588394,0,0,0,0
17173,1247.66730588394,0,0,0,0
17174,1312.79730588394,0,0,0,0
17175,1381.52730588394,0,0,0,0
17176,1360.50730588394,0,0,0,0
17177,1436.25730588394,0,0,0,0
17178,1414.82730588394,0,0,0,0
