2015 Shasta Reservoir Bathymetry file for waterbody 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DLX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2383.7,2352.5,2321.6,2290.9,2260.4,2230.2,2200.3,2170.6,2141.1,2111.9,2082.9,2054.3,2025.8,1997.7,1971.7,1938.4,1901.1,1864,1827.2,1790.4,1754.9,1718,1680.7,1642.4,1602.5,1563.7,1526,1486.6,1447.5,1398.6,1323,1253,1182.9,1112.6,1043.5,975.4,906.7,842.7,780.9,721.1,656.8,595,534.1,472,418.7,363.4,307.7,247,165.5,53.5,0,0,0,0,0,0,0,0,0,,,
Width of Segment #14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1994.9,1970.9,1947.2,1923.7,1900.4,1877.4,1854.7,1832.2,1809.9,1787.9,1766.1,1744.6,1723.3,1702.2,1683.3,1655.4,1621.7,1588.4,1555.2,1522.1,1490.3,1457.1,1423.5,1386.8,1345.4,1305.1,1265.9,1225.1,1184.5,1134.1,1059.8,1018.4,976.7,935,894.4,854.8,814.1,761.6,711.3,663,610.2,559.9,510.5,460,418.1,374.4,330.2,280.9,211,122,21.6,0,0,0,0,0,0,0,0,,,
Width of Segment #15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1226.7,1208.1,1189.8,1171.7,1153.8,1136.2,1118.9,1101.8,1084.9,1068.3,1051.9,1035.8,1019.9,1004.3,990.8,976,962.3,948.8,935.6,922.4,910.5,897.3,883.5,867.3,847.3,828.5,810.7,791.2,772,743,707.4,678.3,648.9,619.5,591.3,563.9,535.7,501.8,470.1,440.4,406.2,374.5,343.7,311.7,288.5,263.3,237.7,218.7,180.9,156.2,120,64.1,0,0,0,0,0,0,0,,,
Width of Segment #16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1944.2,1906.9,1869.9,1833.1,1796.5,1760.2,1724.2,1688.4,1652.8,1617.5,1582.4,1547.6,1513,1478.7,1446.5,1415.5,1387.8,1360.3,1333.1,1305.9,1279.9,1252.7,1224.9,1200.6,1181.4,1163.2,1146.2,1127.5,1109,1080.8,1044.1,997.8,951.2,904.6,859.1,814.6,769.3,720.5,674.1,629.7,580.6,534.2,488.7,442,403.9,364,323.7,298.9,256.6,223,177.9,113.2,70,0,0,0,0,0,0,,,
Width of Segment #17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2216.5,2180.9,2145.6,2110.5,2075.6,2041,2006.7,1972.6,1938.7,1905.1,1871.7,1838.6,1805.8,1773.2,1742.7,1711.3,1681.4,1651.7,1622.3,1592.8,1564.7,1535.2,1505.3,1477,1451.1,1426.3,1402.6,1377.2,1352.2,1317.3,1270.1,1231.1,1192,1152.7,1114.6,1077.4,1038.5,967.4,898.5,831.6,760.2,691.3,623.4,554.2,493.8,431.4,368.7,340.1,296.9,261.6,214.7,148.2,103.2,48.3,0,0,0,0,0,,,
Width of Segment #18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2530.8,2504.6,2478.7,2453,2427.5,2402.3,2377.4,2352.7,2328.2,2304,2280,2256.2,2232.7,2209.5,2188.4,2156.4,2117.2,2078.4,2039.7,2001,1963.6,1925,1885.8,1846.8,1808,1770.3,1733.7,1695.4,1657.4,1609.7,1541.4,1511.7,1481.9,1452,1423.2,1395.4,1365.6,1298.6,1233.9,1171.2,1103.9,1039.1,975.3,910.3,854,795.7,737.1,689.1,622.8,541.3,448.2,335.6,244.4,143.2,43.8,0,0,0,0,,,
Width of Segment #19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,2713.3,2685.9,2658.8,2631.9,2605.2,2578.8,2552.7,2526.8,2501.1,2475.7,2450.5,2425.5,2400.8,2376.3,2353.9,2321.6,2282.8,2244.3,2206,2167.7,2130.7,2092.4,2053.6,2016.6,1982.2,1948.9,1916.8,1882.9,1849.3,1806,1740.6,1675,1609.3,1543.5,1478.8,1415.1,1351.2,1302.2,1255.5,1210.8,1161.5,1114.7,1068.9,1021.9,983.6,943.3,902.7,852.2,780.3,687.5,583.2,459.3,356.9,244.5,133.8,4.4,0,0,0,,,
Width of Segment #20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,3756.7,3728.3,3700.2,3672.3,3644.6,3617.2,3590.1,3563.2,3536.5,3510.1,3483.9,3457.9,3432.2,3406.7,3383.4,3359.5,3337.3,3315.3,3293.6,3271.9,3251.5,3229.8,3207.6,3184.3,3159.1,3135.1,3112.1,3087.5,3063.1,3029,2973.9,2866.1,2758.1,2649.9,2543,2437,2330.2,2221.3,2114.7,2010.1,1900.9,1794.2,1688.5,1581.6,1483.4,1383.2,1282.7,1200.4,1100.9,953.1,793.7,614.7,457.2,350.1,253.9,215,214.1,67.8,0,,,
Width of Segment #21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1974.1,1947.2,1920.6,1894.2,1868,1842.1,1816.5,1791.1,1765.9,1741,1716.3,1691.8,1667.5,1643.6,1621.7,1601.6,1585.3,1569.3,1553.5,1537.7,1523.2,1507.4,1491.1,1476.9,1465.7,1455.7,1446.8,1436.2,1425.8,1405.7,1385.2,1354.1,1322.7,1291.3,1261.1,1231.8,1201.7,1165,1130.7,1098.4,1061.4,1027.1,993.7,959.1,933.1,905.3,877.1,829.8,759.7,670.4,569.6,449.3,350.4,278.7,214.3,201.9,201.8,126.3,0,,,
Width of Segment #22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Width of Segment #23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Width of Segment #24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,213.9,202.5,191.4,180.5,169.8,159.4,149.3,139.4,129.7,120.3,111.1,102.1,93.3,84.9,78.5,68,56.1,44.5,33.1,21.8,13.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Width of Segment #25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,617.3,592.3,567.6,543.1,518.8,494.8,471.1,447.6,424.3,401.3,378.5,356,333.7,311.7,291.8,271.6,253.5,235.6,218,200.3,184,166.3,148.2,132.6,120.7,109.9,100.3,88.9,77.8,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Width of Segment #26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,803.9,774.1,744.6,715.3,686.2,657.4,628.9,600.6,572.5,544.7,517.1,489.7,462.6,435.8,411,390.9,377.1,363.5,350.2,336.8,324.8,311.5,297.6,285.8,277,269.3,262.7,254.4,246.4,228.7,210.9,169.9,128.8,87.5,47.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Width of Segment #27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1375.8,1322,1268.5,1215.2,1162.1,1109.3,1056.8,1004.5,952.4,900.6,849,797.7,746.7,695.9,647.2,610.1,585.3,560.8,536.5,512.2,489.2,465,440.2,416.1,393.2,371.4,350.7,328.2,306.1,274.2,234.5,213.2,191.7,170.2,149.8,130.3,110.1,88.1,68.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Width of Segment #28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1685.5,1649.9,1614.6,1579.5,1544.6,1510,1475.7,1441.6,1407.7,1374.1,1340.7,1307.6,1274.8,1242.2,1211.7,1175,1135.1,1095.5,1056.1,1016.7,978.6,939.2,899.2,858.9,817.9,778,739.2,698.7,658.5,608.5,533.8,485,436,386.9,339,291.9,244.2,194.6,147.3,102,52.1,4.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Width of Segment #29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,1862.6,1826.8,1791.3,1756,1720.9,1686.1,1651.6,1617.3,1583.2,1549.4,1515.8,1482.5,1449.4,1416.6,1385.8,1355.7,1328.3,1301.3,1274.4,1247.5,1222,1195.1,1167.7,1137.1,1101.7,1067.3,1034,999,964.4,919.9,854.1,800.4,746.5,692.5,639.6,587.7,535.4,491.1,449.1,409.1,364.5,322.5,281.4,239.1,205.5,170,134.1,49.9,0,0,0,0,0,0,0,0,0,0,0,,,
