$2/1/1990-8/29/2024 Sacramento River (proportional estimate),
,
JDAY,QIN
15482,20.66
15483,25.88
15484,16.92
15485,27.88
15486,23.86
15487,23.75
15488,22.44
15489,23.23
15490,21.05
15491,13.45
15492,16.75
15493,33.26
15494,28.71
15495,7.62
15496,25.24
15497,16.41
15498,19.5
15499,23.19
15500,21.58
15501,17.81
15502,15.89
15503,18.15
15504,19.15
15505,16.07
15506,16.79
15507,27.77
15508,17.27
15509,17.28
15510,17.06
15511,21.66
15512,22.28
15513,16.58
15514,24.54
15515,14.07
15516,22.42
15517,11.97
15518,27.33
15519,6.55
15520,28.9
15521,36.24
15522,38.1
15523,28.45
15524,33.26
15525,6.38
15526,17.92
15527,18.82
15528,25.87
15529,22.0
15530,23.8
15531,13.43
15532,19.01
15533,12.56
15534,11.27
15535,31.56
15536,21.81
15537,16.32
15538,16.84
15539,18.9
15540,12.73
15541,17.81
15542,24.1
15543,18.38
15544,13.45
15545,11.67
15546,22.98
15547,18.13
15548,16.94
15549,17.98
15550,12.84
15551,19.34
15552,16.69
15553,22.92
15554,7.02
15555,13.6
15556,23.33
15557,20.06
15558,12.14
15559,17.11
15560,20.8
15561,5.23
15562,22.76
15563,13.22
15564,23.11
15565,13.59
15566,24.42
15567,4.24
15568,22.56
15569,7.82
15570,19.49
15571,23.34
15572,13.47
15573,8.41
15574,6.79
15575,13.27
15576,14.36
15577,15.72
15578,24.94
15579,13.11
15580,20.69
15581,12.29
15582,17.85
15583,22.8
15584,19.8
15585,17.17
15586,7.79
15587,20.8
15588,25.66
15589,1.68
15590,20.24
15591,20.59
15592,14.74
15593,14.22
15594,18.75
15595,12.72
15596,20.59
15597,9.51
15598,20.48
15599,19.3
15600,12.25
15601,11.43
15602,18.17
15603,15.46
15604,10.56
15605,21.53
15606,23.88
15607,17.62
15608,8.65
15609,15.75
15610,15.5
15611,20.38
15612,27.0
15613,5.76
15614,21.78
15615,14.89
15616,15.65
15617,14.3
15618,11.94
15619,28.07
15620,13.79
15621,15.12
15622,21.01
15623,21.86
15624,15.44
15625,7.91
15626,28.15
15627,11.63
15628,12.89
15629,13.99
15630,24.05
15631,8.31
15632,22.89
15633,12.62
15634,22.17
15635,15.09
15636,17.85
15637,24.77
15638,10.56
15639,21.87
15640,13.11
15641,19.16
15642,23.06
15643,52.09
15644,60.56
15645,10.12
15646,45.3
15647,31.5
15648,25.7
15649,12.54
15650,20.81
15651,23.53
15652,13.7
15653,9.07
15654,31.75
15655,12.89
15656,19.87
15657,20.73
15658,14.88
15659,9.37
15660,28.55
15661,16.57
15662,20.99
15663,18.84
15664,20.07
15665,27.67
15666,3.5
15667,25.93
15668,17.61
15669,23.03
15670,21.67
15671,5.16
15672,23.38
15673,19.74
15674,20.04
15675,18.09
15676,4.09
15677,45.55
15678,6.34
15679,13.28
15680,16.93
15681,45.74
15682,29.75
15683,70.91
15684,67.37
15685,172.16
15686,108.6
15687,28.81
15688,40.78
15689,48.6
15690,34.87
15691,41.85
15692,48.83
15693,23.57
15694,20.76
15695,18.41
15696,28.52
15697,26.75
15698,26.17
15699,17.88
15700,23.09
15701,21.92
15702,28.25
15703,47.85
15704,35.48
15705,47.37
15706,108.72
15707,91.58
15708,43.13
15709,36.06
15710,53.82
15711,20.75
15712,36.59
15713,28.62
15714,44.3
15715,63.3
15716,24.72
15717,60.89
15718,19.92
15719,53.91
15720,85.86
15721,96.73
15722,79.02
15723,95.02
15724,42.34
15725,86.23
15726,289.66
15727,265.51
15728,211.52
15729,127.68
15730,95.14
15731,74.49
15732,58.19
15733,58.89
15734,59.91
15735,57.85
15736,54.7
15737,46.66
15738,46.36
15739,40.16
15740,56.99
15741,43.26
15742,61.91
15743,54.53
15744,74.19
15745,88.85
15746,107.37
15747,98.77
15748,151.49
15749,120.2
15750,111.25
15751,89.46
15752,74.88
15753,74.88
15754,68.13
15755,62.22
15756,209.6
15757,202.2
15758,135.98
15759,124.22
15760,108.38
15761,99.9
15762,95.4
15763,63.05
15764,62.31
15765,68.54
15766,60.98
15767,52.98
15768,59.99
15769,63.05
15770,63.27
15771,77.3
15772,73.84
15773,85.11
15774,85.68
15775,102.55
15776,108.68
15777,112.67
15778,107.77
15779,123.29
15780,150.25
15781,201.96
15782,503.57
15783,405.97
15784,309.69
15785,224.0
15786,190.84
15787,165.6
15788,250.72
15789,351.31
