$2/1/1990-8/29/2024 McCloud River (proportional estimate),
,
JDAY,QIN
15372,8.04
15373,16.38
15374,18.33
15375,9.6
15376,20.72
15377,3.74
15378,11.18
15379,17.43
15380,19.54
15381,47.25
15382,76.79
15383,99.58
15384,80.84
15385,86.96
15386,93.9
15387,70.42
15388,56.3
15389,55.94
15390,99.31
15391,139.3
15392,94.01
15393,79.57
15394,58.65
15395,45.01
15396,39.7
15397,37.1
15398,35.06
15399,31.82
15400,30.07
15401,35.34
15402,30.23
15403,26.26
15404,37.29
15405,59.95
15406,56.27
15407,48.04
15408,39.12
15409,38.37
15410,30.91
15411,24.43
15412,34.5
15413,20.59
15414,28.68
15415,70.01
15416,99.06
15417,67.95
15418,51.19
15419,42.72
15420,36.41
15421,33.08
15422,32.63
15423,30.8
15424,27.39
15425,30.29
15426,24.97
15427,30.24
15428,32.38
15429,18.17
15430,27.75
15431,23.12
15432,30.45
15433,18.64
15434,34.15
15435,24.2
15436,26.84
15437,19.44
15438,23.82
15439,19.46
15440,23.07
15441,24.5
15442,21.1
15443,50.25
15444,45.27
15445,41.28
15446,38.76
15447,40.16
15448,53.0
15449,46.07
15450,31.45
15451,50.04
15452,21.46
15453,34.75
15454,26.29
15455,23.11
15456,28.89
15457,23.65
15458,23.54
15459,30.79
15460,23.14
15461,23.54
15462,22.82
15463,22.24
15464,19.51
15465,30.16
15466,21.41
15467,21.47
15468,20.07
15469,21.55
15470,22.69
15471,18.73
15472,26.15
15473,13.0
15474,19.08
15475,20.75
15476,16.88
15477,19.67
15478,10.46
15479,22.43
15480,13.79
15481,18.81
15482,13.2
15483,16.53
15484,10.81
15485,17.81
15486,15.24
15487,15.17
15488,14.33
15489,14.84
15490,13.44
15491,8.59
15492,10.7
15493,21.24
15494,18.33
15495,4.87
15496,16.12
15497,10.48
15498,12.46
15499,14.81
15500,13.78
15501,11.38
15502,10.15
15503,11.59
15504,12.23
15505,10.26
15506,10.73
15507,17.73
15508,11.03
15509,11.04
15510,10.89
15511,13.83
15512,14.23
15513,10.59
15514,15.67
15515,8.98
15516,14.32
15517,7.65
15518,17.46
15519,4.18
15520,18.46
15521,23.15
15522,24.33
15523,18.17
15524,21.24
15525,4.07
15526,11.44
15527,12.02
15528,16.52
15529,14.05
15530,15.2
15531,8.58
15532,12.14
15533,8.02
15534,7.2
15535,20.16
15536,13.93
15537,10.42
15538,10.75
15539,12.07
15540,8.13
15541,11.37
15542,15.39
15543,11.74
15544,8.59
15545,7.45
15546,14.68
15547,11.58
15548,10.82
15549,11.49
15550,8.2
15551,12.35
15552,10.66
15553,14.64
15554,4.48
15555,8.68
15556,14.9
15557,12.81
15558,7.75
15559,10.93
15560,13.28
15561,3.34
15562,14.54
15563,8.44
15564,14.76
15565,8.68
15566,15.6
15567,2.71
15568,14.41
15569,4.99
15570,12.45
15571,14.91
15572,8.6
15573,5.37
15574,4.34
15575,8.48
15576,9.17
15577,10.04
15578,15.93
15579,8.37
15580,13.22
15581,7.85
15582,11.4
15583,14.56
15584,12.65
15585,10.96
15586,4.97
15587,13.29
15588,16.39
15589,1.08
15590,12.93
15591,13.15
15592,9.42
15593,9.08
15594,11.98
15595,8.12
15596,13.15
15597,6.07
15598,13.08
15599,12.33
15600,7.83
15601,7.3
15602,11.61
15603,9.87
15604,6.74
15605,13.75
15606,15.25
15607,11.25
15608,5.53
15609,10.06
15610,9.9
15611,13.02
15612,17.24
15613,3.68
15614,13.91
15615,9.51
15616,9.99
15617,9.13
15618,7.62
15619,17.93
15620,8.81
15621,9.65
15622,13.42
15623,13.96
15624,9.86
15625,5.05
15626,17.98
15627,7.43
15628,8.23
15629,8.94
15630,15.36
15631,5.31
15632,14.62
15633,8.06
15634,14.16
15635,9.64
15636,11.4
15637,15.82
15638,6.74
15639,13.97
15640,8.37
15641,12.24
15642,14.73
15643,33.27
15644,38.68
15645,6.46
15646,28.93
15647,20.12
15648,16.42
15649,8.01
15650,13.29
15651,15.03
15652,8.75
15653,5.79
15654,20.28
15655,8.23
15656,12.69
15657,13.24
15658,9.51
15659,5.99
15660,18.23
15661,10.58
15662,13.4
15663,12.03
15664,12.82
15665,17.67
15666,2.23
15667,16.56
15668,11.25
15669,14.71
15670,13.84
15671,3.29
15672,14.93
15673,12.6
15674,12.8
15675,11.56
15676,2.61
15677,29.09
15678,4.05
15679,8.48
15680,10.81
15681,29.21
15682,19.0
15683,45.29
15684,43.03
15685,109.96
15686,69.36
15687,18.4
15688,26.04
15689,31.04
15690,22.27
15691,26.73
15692,31.18
15693,15.05
15694,13.26
15695,11.76
15696,18.21
15697,17.09
15698,16.71
15699,11.42
15700,14.75
15701,14.0
15702,18.04
15703,30.56
15704,22.66
15705,30.26
15706,69.44
15707,58.49
15708,27.55
15709,23.03
15710,34.37
15711,13.25
15712,23.37
15713,18.28
15714,28.3
15715,40.43
15716,15.79
15717,38.89
15718,12.72
15719,34.43
15720,54.84
15721,61.78
15722,50.47
15723,60.69
15724,27.04
15725,55.07
15726,185.0
15727,169.58
15728,135.1
15729,81.54
15730,60.76
15731,47.57
15732,37.17
15733,37.61
15734,38.26
15735,36.95
15736,34.93
15737,29.8
15738,29.61
15739,25.65
15740,36.4
15741,27.63
15742,39.54
15743,34.83
15744,47.38
15745,56.75
15746,68.58
15747,63.09
15748,96.76
15749,76.77
15750,71.06
15751,57.14
15752,47.83
15753,47.83
15754,43.51
15755,39.74
15756,133.87
15757,129.14
15758,86.85
15759,79.34
15760,69.22
15761,63.8
15762,60.93
15763,40.27
15764,39.79
15765,43.77
15766,38.94
15767,33.84
15768,38.31
15769,40.27
15770,40.41
15771,49.37
15772,47.16
15773,54.36
15774,54.72
15775,65.5
15776,69.41
15777,71.96
15778,68.83
15779,78.75
15780,95.96
15781,128.99
15782,321.62
15783,259.28
15784,197.8
15785,143.07
15786,121.89
15787,105.77
15788,160.13
15789,224.38
15790,149.65
15791,113.66
15792,108.07
15793,90.85
15794,85.52
15795,74.0
15796,75.27
15797,72.78
15798,71.46
15799,68.39
15800,83.52
15801,75.88
15802,71.75
15803,69.61
15804,63.44
15805,65.26
15806,60.58
15807,57.23
15808,54.3
15809,50.81
15810,50.16
15811,49.58
15812,50.22
15813,76.95
15814,60.17
15815,61.22
15816,57.0
15817,52.95
15818,50.92
15819,56.03
15820,52.06
15821,48.55
15822,49.01
15823,46.45
15824,44.87
15825,47.27
15826,47.36
15827,41.2
15828,38.12
15829,59.62
15830,47.82
15831,44.83
15832,46.25
15833,43.29
15834,42.6
15835,41.81
15836,36.8
15837,50.34
15838,37.77
15839,37.18
15840,39.71
15841,34.69
15842,34.29
15843,41.29
15844,35.16
15845,39.4
15846,30.15
15847,31.29
15848,34.96
15849,27.93
15850,27.97
15851,40.45
15852,37.78
15853,44.97
15854,28.62
15855,33.64
15856,40.4
15857,98.83
15858,80.93
15859,63.19
15860,51.81
15861,58.01
15862,54.41
15863,40.22
15864,50.63
15865,40.48
15866,46.3
15867,34.73
15868,41.77
15869,41.27
15870,41.78
15871,31.59
15872,30.41
15873,33.86
15874,30.89
15875,35.29
15876,25.19
15877,18.42
15878,29.86
15879,24.7
15880,21.73
15881,17.53
15882,33.34
15883,17.0
15884,20.02
15885,20.89
15886,20.43
15887,16.49
15888,23.96
15889,15.49
15890,20.98
15891,22.32
15892,12.75
15893,15.49
15894,23.73
15895,18.36
15896,17.9
15897,16.93
15898,12.37
15899,20.22
15900,14.22
15901,15.42
15902,13.79
15903,20.24
15904,18.72
15905,12.85
15906,17.95
15907,13.73
15908,17.95
15909,14.57
15910,16.76
15911,3.04
15912,21.16
15913,23.82
15914,14.99
15915,18.44
15916,4.91
15917,23.36
15918,11.85
15919,12.64
15920,16.78
15921,21.78
15922,6.16
15923,14.1
15924,15.68
15925,14.12
15926,12.8
15927,17.7
15928,12.57
15929,12.53
15930,13.16
15931,14.18
15932,14.19
15933,14.96
15934,11.44
15935,7.47
15936,23.94
15937,12.87
15938,18.19
15939,13.96
15940,15.29
15941,17.14
15942,9.09
15943,14.14
15944,13.54
15945,17.21
15946,10.59
15947,15.48
15948,10.81
15949,17.4
15950,10.69
15951,17.05
15952,11.75
15953,9.98
15954,12.89
15955,4.37
15956,23.93
15957,11.9
15958,9.9
15959,14.2
15960,12.94
15961,10.92
15962,17.91
15963,11.38
15964,14.84
15965,13.31
15966,14.12
15967,22.13
15968,6.37
15969,11.82
15970,5.08
15971,17.39
15972,18.63
15973,8.19
15974,11.13
15975,13.18
15976,13.96
15977,15.54
15978,9.67
15979,15.86
15980,10.94
15981,13.31
15982,15.62
15983,11.57
15984,14.43
15985,12.2
15986,10.93
15987,19.2
15988,23.81
15989,18.09
15990,10.03
15991,4.27
15992,11.96
15993,10.07
15994,20.65
15995,15.87
15996,16.74
15997,19.34
15998,15.93
15999,13.76
16000,11.66
16001,16.27
16002,15.08
16003,10.89
16004,14.8
16005,12.98
16006,12.51
16007,16.4
16008,16.09
16009,12.69
16010,15.61
16011,15.36
16012,12.89
16013,14.74
16014,14.09
16015,9.31
16016,16.03
16017,9.74
16018,17.53
16019,11.04
16020,14.85
16021,12.61
16022,17.72
16023,8.88
16024,13.38
16025,12.33
16026,12.98
16027,17.22
16028,7.27
16029,14.7
16030,8.27
16031,14.84
16032,15.04
16033,13.47
16034,13.07
16035,10.77
16036,5.38
16037,21.04
16038,5.96
16039,28.18
16040,15.23
16041,15.24
16042,10.17
16043,14.35
16044,12.28
16045,15.08
16046,17.95
16047,26.55
16048,58.03
16049,35.06
16050,29.17
16051,34.26
16052,26.27
16053,38.08
16054,30.11
16055,20.41
16056,16.85
16057,17.64
16058,16.6
16059,10.35
16060,19.89
16061,15.78
16062,16.85
16063,14.9
16064,10.12
16065,18.71
16066,7.44
16067,19.07
16068,15.32
16069,14.28
16070,15.75
16071,14.56
16072,4.43
16073,22.87
16074,11.51
16075,21.04
16076,19.57
16077,13.83
16078,17.25
16079,9.27
16080,16.92
16081,22.36
16082,14.62
16083,12.88
16084,16.56
16085,14.44
16086,7.86
16087,16.27
16088,20.93
16089,13.46
16090,15.22
16091,13.57
16092,16.84
16093,15.47
16094,38.67
16095,70.21
16096,51.69
16097,37.64
16098,26.64
16099,26.96
16100,13.9
16101,24.66
16102,22.06
16103,18.94
16104,11.01
16105,17.12
16106,18.95
16107,21.16
16108,27.24
16109,23.78
16110,23.26
16111,10.56
16112,36.45
16113,20.72
16114,15.45
16115,10.89
16116,24.04
16117,23.22
16118,17.39
16119,43.3
16120,42.38
16121,38.82
16122,33.9
16123,46.53
16124,35.06
16125,26.9
16126,27.49
16127,30.77
16128,36.31
16129,38.1
16130,32.75
16131,25.25
16132,34.28
16133,37.23
16134,29.23
16135,32.04
16136,37.45
16137,15.83
16138,30.49
16139,24.32
16140,31.03
16141,27.41
16142,26.81
16143,21.85
16144,26.78
16145,22.54
16146,30.86
16147,26.83
16148,21.57
16149,23.23
16150,21.43
16151,21.44
16152,19.31
16153,19.43
16154,25.01
16155,14.12
16156,14.49
16157,18.76
16158,27.76
16159,19.16
16160,19.94
16161,23.08
16162,11.07
16163,20.12
16164,11.95
16165,27.36
16166,22.03
16167,8.79
16168,19.74
16169,26.66
16170,25.89
16171,10.68
16172,12.39
16173,19.61
16174,17.64
16175,17.6
16176,16.3
16177,22.63
16178,19.34
16179,13.24
16180,17.81
16181,19.84
16182,17.23
16183,17.78
16184,23.73
16185,19.25
16186,27.73
16187,25.13
16188,19.77
16189,22.14
16190,11.1
16191,13.88
16192,19.02
16193,20.16
16194,17.37
16195,28.53
16196,14.15
16197,28.14
16198,16.82
16199,20.36
16200,18.6
16201,27.17
16202,22.62
16203,18.71
16204,26.37
16205,15.08
16206,14.84
16207,20.33
16208,19.92
16209,11.59
16210,14.33
16211,18.73
16212,19.66
16213,17.37
16214,19.68
16215,11.35
16216,21.84
16217,9.88
16218,21.8
16219,12.29
16220,12.73
16221,17.3
16222,19.52
16223,10.97
16224,14.17
16225,12.87
16226,17.81
16227,13.59
16228,13.24
16229,9.39
16230,15.57
16231,17.0
16232,13.41
16233,2.73
16234,14.5
