$2/1/1990-8/29/2024 Pit River (proportional estimate),
,
JDAY,QIN
15285,65.68
15286,12.48
15287,62.98
15288,30.91
15289,59.37
15290,67.84
15291,59.14
15292,15.12
15293,69.1
15294,64.86
15295,15.08
15296,77.81
15297,82.5
15298,52.06
15299,69.39
15300,47.15
15301,52.79
15302,57.83
15303,59.09
15304,60.15
15305,54.33
15306,44.69
15307,58.32
15308,31.52
15309,75.67
15310,48.7
15311,65.1
15312,49.08
15313,65.82
15314,40.96
15315,75.46
15316,23.31
15317,79.37
15318,72.86
15319,38.86
15320,54.28
15321,51.7
15322,55.08
15323,30.34
15324,35.71
15325,77.6
15326,55.9
15327,83.38
15328,34.33
15329,57.08
15330,42.7
15331,64.21
15332,74.43
15333,25.32
15334,70.19
15335,53.74
15336,45.05
15337,93.49
15338,113.7
15339,67.6
15340,65.47
15341,64.62
15342,58.08
15343,55.17
15344,107.54
15345,146.09
15346,99.57
15347,95.44
15348,76.87
15349,65.45
15350,66.03
15351,60.34
15352,62.89
15353,65.4
15354,56.02
15355,58.46
15356,59.59
15357,62.82
15358,51.61
15359,58.64
15360,53.67
15361,57.19
15362,57.22
15363,60.24
15364,47.74
15365,64.2
15366,53.35
15367,55.37
15368,71.36
15369,47.88
15370,66.43
15371,64.53
15372,35.83
15373,73.0
15374,81.68
15375,42.75
15376,92.32
15377,16.65
15378,49.8
15379,77.67
15380,87.05
15381,210.52
15382,342.15
15383,443.68
15384,360.16
15385,387.47
15386,418.36
15387,313.73
15388,250.83
15389,249.26
15390,442.46
15391,620.67
15392,418.87
15393,354.53
15394,261.32
15395,200.56
15396,176.9
15397,165.29
15398,156.2
15399,141.78
15400,133.96
15401,157.46
15402,134.71
15403,116.99
15404,166.12
15405,267.13
15406,250.72
15407,214.02
15408,174.28
15409,170.97
15410,137.7
15411,108.85
15412,153.73
15413,91.73
15414,127.77
15415,311.92
15416,441.34
15417,302.77
15418,228.06
15419,190.34
15420,162.22
15421,147.4
15422,145.38
15423,137.22
15424,122.03
15425,134.97
15426,111.24
15427,134.74
15428,144.26
15429,80.97
15430,123.65
15431,103.01
15432,135.66
15433,83.04
15434,152.14
15435,107.8
15436,119.59
15437,86.62
15438,106.11
15439,86.69
15440,102.78
15441,109.16
15442,94.03
15443,223.91
15444,201.71
15445,183.91
15446,172.7
15447,178.92
15448,236.13
15449,205.27
15450,140.15
15451,222.95
15452,95.6
15453,154.81
15454,117.15
15455,102.96
15456,128.73
15457,105.36
15458,104.87
15459,137.18
15460,103.11
15461,104.89
15462,101.68
15463,99.1
15464,86.93
15465,134.37
15466,95.39
15467,95.65
15468,89.43
15469,96.0
15470,101.09
15471,83.45
15472,116.52
15473,57.9
15474,85.02
15475,92.44
15476,75.22
15477,87.63
15478,46.6
15479,99.96
15480,61.46
15481,83.79
15482,58.79
15483,73.65
15484,48.16
15485,79.33
15486,67.91
15487,67.58
15488,63.87
15489,66.1
15490,59.89
15491,38.29
15492,47.67
15493,94.64
15494,81.68
15495,21.69
15496,71.82
15497,46.69
15498,55.5
15499,65.99
15500,61.41
15501,50.68
15502,45.21
15503,51.64
15504,54.5
15505,45.72
15506,47.79
15507,79.02
15508,49.15
15509,49.19
15510,48.54
15511,61.63
15512,63.4
15513,47.18
15514,69.83
15515,40.03
15516,63.81
15517,34.07
15518,77.78
15519,18.64
15520,82.24
15521,103.13
15522,108.41
15523,80.95
15524,94.64
15525,18.15
15526,50.98
15527,53.56
15528,73.61
15529,62.61
15530,67.74
15531,38.22
15532,54.08
15533,35.74
15534,32.06
15535,89.81
15536,62.05
15537,46.43
15538,47.91
15539,53.77
15540,36.21
15541,50.67
15542,68.57
15543,52.31
15544,38.27
15545,33.21
15546,65.4
15547,51.59
15548,48.19
15549,51.17
15550,36.53
15551,55.04
15552,47.49
15553,65.21
15554,19.96
15555,38.69
15556,66.39
15557,57.08
15558,34.54
15559,48.7
15560,59.18
15561,14.89
15562,64.77
15563,37.61
15564,65.77
15565,38.67
15566,69.5
15567,12.07
15568,64.2
15569,22.25
15570,55.46
15571,66.43
15572,38.32
15573,23.92
15574,19.34
15575,37.77
15576,40.85
15577,44.72
15578,70.98
15579,37.31
15580,58.88
15581,34.98
15582,50.81
15583,64.88
15584,56.35
15585,48.85
15586,22.16
15587,59.19
15588,73.02
15589,4.79
15590,57.59
15591,58.6
15592,41.95
15593,40.47
15594,53.37
15595,36.2
15596,58.58
15597,27.06
15598,58.27
15599,54.92
15600,34.87
15601,32.52
15602,51.71
15603,43.99
15604,30.04
15605,61.27
15606,67.96
15607,50.14
15608,24.62
15609,44.81
15610,44.11
15611,57.99
15612,76.82
15613,16.39
15614,61.97
15615,42.37
15616,44.53
15617,40.69
15618,33.96
15619,79.87
15620,39.25
15621,43.01
15622,59.79
15623,62.19
15624,43.94
15625,22.51
15626,80.12
15627,33.09
15628,36.67
15629,39.82
15630,68.43
15631,23.66
15632,65.14
15633,35.9
15634,63.1
15635,42.94
15636,50.79
15637,70.49
15638,30.04
15639,62.24
15640,37.31
15641,54.52
15642,65.61
15643,148.22
15644,172.33
15645,28.8
15646,128.9
15647,89.64
15648,73.14
15649,35.67
15650,59.23
15651,66.97
15652,38.99
15653,25.8
15654,90.35
15655,36.68
15656,56.54
15657,58.98
15658,42.35
15659,26.68
15660,81.23
15661,47.15
15662,59.72
15663,53.61
15664,57.12
15665,78.74
15666,9.96
15667,73.79
15668,50.11
15669,65.54
15670,61.65
15671,14.68
15672,66.53
15673,56.16
15674,57.03
15675,51.49
15676,11.65
15677,129.61
15678,18.05
15679,37.8
15680,48.17
15681,130.16
15682,84.67
15683,201.78
15684,191.72
15685,489.92
15686,309.04
15687,81.98
15688,116.03
15689,138.3
15690,99.22
15691,119.08
15692,138.94
15693,67.07
15694,59.07
15695,52.38
15696,81.14
15697,76.12
15698,74.47
15699,50.89
15700,65.71
15701,62.37
15702,80.39
15703,136.15
15704,100.95
15705,134.81
15706,309.37
15707,260.61
15708,122.73
15709,102.62
15710,153.15
15711,59.05
15712,104.12
15713,81.44
15714,126.08
15715,180.14
15716,70.35
15717,173.27
15718,56.68
15719,153.4
15720,244.32
15721,275.25
15722,224.86
15723,270.41
15724,120.5
15725,245.37
15726,824.28
15727,755.55
15728,601.92
15729,363.32
15730,270.74
15731,211.96
15732,165.6
15733,167.59
15734,170.48
15735,164.63
15736,155.65
15737,132.79
15738,131.93
15739,114.27
15740,162.18
15741,123.11
15742,176.17
15743,155.18
15744,211.11
15745,252.83
15746,305.54
15747,281.08
15748,431.09
15749,342.05
15750,316.59
15751,254.57
15752,213.1
15753,213.1
15754,193.86
15755,177.06
15756,596.45
15757,575.39
15758,386.94
15759,353.49
15760,308.41
15761,284.27
15762,271.49
15763,179.43
15764,177.3
15765,195.03
15766,173.52
15767,150.76
15768,170.71
15769,179.43
15770,180.04
15771,219.97
15772,210.13
15773,242.2
15774,243.82
15775,291.83
15776,309.27
15777,320.62
15778,306.67
15779,350.85
15780,427.57
15781,574.71
15782,1432.98
15783,1155.23
15784,881.27
15785,637.44
15786,543.08
15787,471.24
15788,713.47
15789,999.71
15790,666.75
15791,506.43
15792,481.5
15793,404.8
15794,381.03
15795,329.69
15796,335.37
15797,324.26
15798,318.37
15799,304.7
15800,372.11
15801,338.07
15802,319.66
15803,310.16
15804,282.65
15805,290.75
15806,269.93
15807,254.98
15808,241.95
15809,226.4
15810,223.49
15811,220.91
15812,223.77
15813,342.83
15814,268.1
15815,272.78
15816,253.96
15817,235.92
15818,226.87
15819,249.66
15820,231.94
15821,216.3
15822,218.38
15823,206.98
15824,199.93
15825,210.6
15826,211.0
15827,183.56
15828,169.84
15829,265.65
15830,213.06
15831,199.74
15832,206.05
15833,192.89
15834,189.78
15835,186.26
15836,163.96
15837,224.29
15838,168.27
15839,165.65
15840,176.92
15841,154.55
15842,152.77
15843,183.98
15844,156.67
15845,175.56
15846,134.34
15847,139.4
15848,155.79
15849,124.44
15850,124.63
15851,180.21
15852,168.34
15853,200.39
15854,127.51
15855,149.87
15856,180.0
15857,440.31
15858,360.6
15859,281.53
15860,230.84
15861,258.44
15862,242.44
15863,179.22
15864,225.6
15865,180.37
15866,206.28
15867,154.76
15868,186.09
15869,183.87
15870,186.16
15871,140.76
15872,135.49
15873,150.87
15874,137.62
15875,157.22
15876,112.21
15877,82.09
15878,133.05
15879,110.03
15880,96.8
15881,78.09
15882,148.55
15883,75.74
15884,89.22
15885,93.07
15886,91.01
15887,73.47
15888,106.77
15889,69.03
15890,93.45
15891,99.43
15892,56.8
15893,69.03
15894,105.73
15895,81.82
15896,79.77
15897,75.43
15898,55.11
15899,90.09
15900,63.36
15901,68.71
15902,61.42
15903,90.19
15904,83.41
15905,57.26
15906,79.99
15907,61.16
15908,79.99
15909,64.93
15910,74.69
15911,13.56
15912,94.29
15913,106.15
15914,66.8
15915,82.16
15916,21.86
15917,104.07
15918,52.78
15919,56.33
15920,74.75
15921,97.05
15922,27.43
15923,62.82
15924,69.85
15925,62.91
15926,57.03
15927,78.84
15928,56.02
15929,55.81
15930,58.64
15931,63.19
15932,63.2
15933,66.66
15934,50.96
15935,33.28
15936,106.65
15937,57.33
15938,81.06
15939,62.21
15940,68.12
15941,76.37
15942,40.49
15943,63.01
15944,60.33
15945,76.66
15946,47.18
15947,68.99
15948,48.17
15949,77.54
15950,47.65
15951,75.98
15952,52.34
15953,44.48
15954,57.45
15955,19.48
15956,106.62
15957,53.0
15958,44.13
15959,63.27
15960,57.64
15961,48.66
15962,79.78
15963,50.7
15964,66.13
15965,59.32
15966,62.91
15967,98.6
15968,28.37
15969,52.65
15970,22.61
15971,77.5
15972,83.03
15973,36.51
15974,49.6
15975,58.72
15976,62.21
15977,69.24
15978,43.1
15979,70.65
15980,48.73
15981,59.32
15982,69.6
15983,51.54
15984,64.3
15985,54.35
15986,48.7
15987,85.54
15988,106.09
15989,80.62
15990,44.7
15991,19.04
15992,53.28
15993,44.86
15994,92.01
15995,70.72
15996,74.59
15997,86.17
15998,70.96
15999,61.32
16000,51.94
16001,72.48
16002,67.18
16003,48.54
16004,65.96
16005,57.82
16006,55.72
16007,73.05
16008,71.69
16009,56.54
16010,69.55
16011,68.45
16012,57.45
16013,65.68
16014,62.77
16015,41.48
16016,71.43
16017,43.4
16018,78.09
16019,49.2
16020,66.15
16021,56.19
16022,78.93
16023,39.56
16024,59.61
16025,54.94
16026,57.85
16027,76.73
16028,32.41
16029,65.5
16030,36.84
16031,66.13
16032,67.0
16033,60.01
16034,58.25
16035,47.98
16036,23.99
16037,93.75
16038,26.54
16039,125.55
16040,67.88
16041,67.89
16042,45.3
16043,63.94
16044,54.71
16045,67.18
16046,79.99
16047,118.3
16048,258.55
16049,156.2
16050,129.96
16051,152.66
16052,117.03
16053,169.66
16054,134.17
16055,90.94
16056,75.06
16057,78.58
16058,73.94
16059,46.12
16060,88.64
16061,70.32
16062,75.09
16063,66.38
16064,45.07
16065,83.34
16066,33.13
16067,84.95
16068,68.28
16069,63.64
16070,70.16
16071,64.86
16072,19.74
16073,101.89
16074,51.29
16075,93.75
16076,87.21
16077,61.62
16078,76.87
16079,41.32
16080,75.39
16081,99.63
16082,65.14
16083,57.4
16084,73.79
16085,64.32
16086,35.03
16087,72.48
16088,93.24
16089,59.98
16090,67.81
16091,60.47
16092,75.02
16093,68.94
16094,172.28
16095,312.83
16096,230.29
16097,167.71
16098,118.7
16099,120.11
16100,61.91
16101,109.86
16102,98.28
16103,84.37
16104,49.06
16105,76.26
16106,84.44
16107,94.27
16108,121.35
16109,105.94
16110,103.64
16111,47.06
16112,162.41
16113,92.32
16114,68.82
16115,48.54
16116,107.11
16117,103.46
16118,77.47
16119,192.94
16120,188.81
16121,172.96
16122,151.06
16123,207.32
16124,156.22
16125,119.87
16126,122.5
16127,137.11
16128,161.8
16129,169.75
16130,145.93
16131,112.49
16132,152.72
16133,165.9
16134,130.23
16135,142.74
16136,166.84
16137,70.53
16138,135.84
16139,108.38
16140,138.25
16141,122.13
16142,119.43
16143,97.34
16144,119.33
16145,100.43
16146,137.48
16147,119.52
16148,96.09
16149,103.5
16150,95.46
16151,95.51
16152,86.03
16153,86.58
16154,111.43
16155,62.91
16156,64.58
16157,83.57
16158,123.7
16159,85.36
16160,88.85
16161,102.83
16162,49.31
16163,89.65
16164,53.27
16165,121.89
16166,98.16
16167,39.16
16168,87.96
16169,118.77
16170,115.35
16171,47.56
16172,55.2
16173,87.35
16174,78.6
16175,78.42
16176,72.64
16177,100.83
16178,86.18
16179,58.98
16180,79.33
16181,88.38
16182,76.77
16183,79.23
16184,105.71
16185,85.78
16186,123.53
16187,111.97
16188,88.07
16189,98.63
16190,49.46
16191,61.84
16192,84.74
16193,89.83
16194,77.38
16195,127.1
16196,63.03
16197,125.38
16198,74.94
16199,90.73
16200,82.89
16201,121.05
16202,100.78
16203,83.34
16204,117.5
16205,67.18
16206,66.1
16207,90.56
16208,88.76
16209,51.66
16210,63.83
16211,83.45
16212,87.6
16213,77.4
16214,87.67
16215,50.56
16216,97.32
16217,44.04
16218,97.12
16219,54.75
16220,56.7
16221,77.08
16222,86.95
16223,48.87
16224,63.13
16225,57.33
16226,79.35
16227,60.57
16228,58.98
16229,41.84
16230,69.39
16231,75.74
16232,59.77
16233,12.15
16234,64.6
16235,83.03
16236,17.64
16237,69.85
