$1995-2016 ERA5 daily-mean N40.5-41.0 W122.5-122.0,,,,,
columns wind speed [1.2,6.1], wind direction phi [0-6.3],,,
JDAY,TAIR,TDEW,WIND,PHI,CLOUD
56,12.899999618530273,5.599999904632568,1.4199999570846558,2.990000009536743,6.599999904632568
57,8.300000190734863,5.900000095367432,0.5699999928474426,5.010000228881836,3.9000000953674316
58,7.699999809265137,0.10000000149011612,2.069999933242798,0.0,2.0
59,10.699999809265137,4.5,0.49000000953674316,5.480000019073486,9.800000190734863
60,11.0,6.300000190734863,0.12999999523162842,1.4900000095367432,6.0
61,12.800000190734863,6.5,1.3700000047683716,3.3299999237060547,8.199999809265137
62,11.600000381469727,8.899999618530273,1.2100000381469727,3.5399999618530273,8.600000381469727
63,7.699999809265137,5.099999904632568,0.6000000238418579,4.900000095367432,5.5
64,6.5,1.399999976158142,0.3499999940395355,2.0799999237060547,9.800000190734863
65,7.800000190734863,7.0,2.25,3.3499999046325684,10.0
66,10.600000381469727,9.800000190734863,1.690000057220459,3.369999885559082,9.899999618530273
67,10.300000190734863,9.199999809265137,0.5400000214576721,4.179999828338623,9.699999809265137
68,10.300000190734863,8.800000190734863,0.7400000095367432,5.550000190734863,7.5
69,8.399999618530273,5.300000190734863,0.9700000286102295,0.07999999821186066,9.399999618530273
70,9.699999809265137,6.099999904632568,0.2800000011920929,0.7799999713897705,5.400000095367432
71,7.800000190734863,5.0,0.6399999856948853,3.0999999046325684,8.0
72,10.199999809265137,8.899999618530273,4.860000133514404,2.9700000286102295,10.0
73,11.300000190734863,10.100000381469727,7.460000038146973,3.0399999618530273,10.0
74,8.0,6.199999809265137,3.930000066757202,3.1700000762939453,9.300000190734863
75,6.199999809265137,5.099999904632568,1.0800000429153442,2.930000066757202,8.800000190734863
76,7.900000095367432,6.800000190734863,3.8399999141693115,3.069999933242798,9.699999809265137
77,4.599999904632568,1.899999976158142,1.2599999904632568,6.28000020980835,6.800000190734863
78,4.900000095367432,-1.7999999523162842,2.259999990463257,0.36000001430511475,4.5
79,6.300000190734863,1.2000000476837158,0.6100000143051147,1.0800000429153442,8.899999618530273
80,3.799999952316284,-0.30000001192092896,0.550000011920929,0.25999999046325684,3.5999999046325684
81,4.699999809265137,-0.0,1.6699999570846558,0.11999999731779099,1.7000000476837158
82,3.9000000953674316,-2.0999999046325684,2.1500000953674316,0.38999998569488525,0.6000000238418579
83,3.5,-0.699999988079071,1.0099999904632568,1.059999942779541,9.399999618530273
84,2.200000047683716,-2.200000047683716,1.440000057220459,0.3700000047683716,2.5999999046325684
85,3.200000047683716,-3.0999999046325684,1.7699999809265137,0.5799999833106995,0.20000000298023224
86,3.5,-2.799999952316284,1.8700000047683716,0.4300000071525574,2.0
87,4.5,-1.399999976158142,1.5399999618530273,0.30000001192092896,2.9000000953674316
88,6.300000190734863,1.5,1.1699999570846558,0.5799999833106995,6.099999904632568
89,5.0,3.4000000953674316,0.38999998569488525,6.159999847412109,8.600000381469727
90,6.300000190734863,5.199999809265137,0.6100000143051147,2.9200000762939453,10.0
91,8.600000381469727,8.0,1.309999942779541,3.509999990463257,10.0
92,9.5,8.0,0.699999988079071,4.320000171661377,7.900000095367432
93,7.800000190734863,1.399999976158142,2.490000009536743,0.03999999910593033,4.0
94,9.199999809265137,2.200000047683716,2.490000009536743,0.1899999976158142,4.599999904632568
95,10.600000381469727,7.0,0.9900000095367432,3.5299999713897705,6.400000095367432
96,7.900000095367432,5.599999904632568,0.6899999976158142,4.019999980926514,7.300000190734863
97,8.0,5.099999904632568,0.30000001192092896,2.9600000381469727,9.899999618530273
98,7.400000095367432,5.199999809265137,0.5600000023841858,0.2199999988079071,9.899999618530273
