$2/1/1990-8/30/2024  ERA5 daily-mean N40.5-41.0 W122.5-122.0,,,,,
columns wind speed [1.2,6.1], wind direction phi [0-6.3],,,
JDAY,TAIR,TDEW,WIND,PHI,CLOUD
2012-03-10 00:00:00,10.300000190734863,-1.399999976158142,1.0299999713897705,3.0899999141693115,0.800000011920929
2012-03-11 00:00:00,10.0,2.200000047683716,3.630000114440918,3.3299999237060547,6.900000095367432
2012-03-12 00:00:00,6.599999904632568,-0.699999988079071,3.0,3.450000047683716,9.300000190734863
2012-03-13 00:00:00,7.900000095367432,2.5,5.670000076293945,3.200000047683716,9.899999618530273
2012-03-14 00:00:00,7.900000095367432,6.0,2.950000047683716,3.490000009536743,9.899999618530273
2012-03-15 00:00:00,10.100000381469727,8.199999809265137,3.549999952316284,3.180000066757202,9.899999618530273
2012-03-16 00:00:00,9.600000381469727,7.699999809265137,4.329999923706055,3.3299999237060547,10.0
2012-03-17 00:00:00,5.699999809265137,1.0,2.259999990463257,3.049999952316284,6.400000095367432
2012-03-18 00:00:00,6.800000190734863,-3.799999952316284,1.0199999809265137,4.269999980926514,7.699999809265137
2012-03-19 00:00:00,3.299999952316284,-6.400000095367432,1.4299999475479126,4.480000019073486,7.599999904632568
2012-03-20 00:00:00,5.5,-1.7000000476837158,1.340000033378601,3.2200000286102295,9.899999618530273
2012-03-21 00:00:00,7.099999904632568,3.5999999046325684,0.6000000238418579,3.2200000286102295,9.300000190734863
2012-03-22 00:00:00,9.899999618530273,6.0,2.5199999809265137,3.4000000953674316,8.600000381469727
2012-03-23 00:00:00,6.0,0.5,1.659999966621399,3.380000114440918,3.5999999046325684
2012-03-24 00:00:00,7.5,0.20000000298023224,0.949999988079071,2.509999990463257,10.0
2012-03-25 00:00:00,5.300000190734863,3.299999952316284,0.44999998807907104,4.139999866485596,9.899999618530273
2012-03-26 00:00:00,5.099999904632568,2.0999999046325684,1.0800000429153442,3.25,7.0
2012-03-27 00:00:00,6.699999809265137,2.700000047683716,3.8299999237060547,3.0199999809265137,9.899999618530273
2012-03-28 00:00:00,6.599999904632568,4.900000095367432,4.440000057220459,3.109999895095825,8.5
2012-03-29 00:00:00,9.300000190734863,3.200000047683716,2.950000047683716,3.259999990463257,10.0
2012-03-30 00:00:00,9.800000190734863,7.599999904632568,3.930000066757202,3.180000066757202,10.0
2012-03-31 00:00:00,10.300000190734863,7.699999809265137,5.070000171661377,3.0799999237060547,8.800000190734863
2012-04-01 00:00:00,6.099999904632568,1.5,2.7899999618530273,3.319999933242798,6.099999904632568
2012-04-02 00:00:00,7.199999809265137,-0.800000011920929,1.1799999475479126,5.550000190734863,7.800000190734863
2012-04-03 00:00:00,11.100000381469727,1.399999976158142,0.699999988079071,3.200000047683716,6.900000095367432
2012-04-04 00:00:00,8.199999809265137,1.399999976158142,2.1700000762939453,3.569999933242798,4.800000190734863
2012-04-05 00:00:00,4.699999809265137,-4.0,1.340000033378601,5.010000228881836,2.700000047683716
2012-04-06 00:00:00,4.900000095367432,-4.099999904632568,0.6499999761581421,5.260000228881836,2.299999952316284
2012-04-07 00:00:00,7.400000095367432,-3.0999999046325684,0.3100000023841858,1.5700000524520874,7.699999809265137
2012-04-08 00:00:00,9.399999618530273,-2.0999999046325684,0.4099999964237213,0.800000011920929,7.099999904632568
2012-04-09 00:00:00,11.5,0.699999988079071,0.3799999952316284,2.2100000381469727,9.600000381469727
2012-04-10 00:00:00,10.699999809265137,1.0,0.6700000166893005,2.450000047683716,9.300000190734863
2012-04-11 00:00:00,7.800000190734863,6.300000190734863,0.6800000071525574,3.259999990463257,9.399999618530273
2012-04-12 00:00:00,7.099999904632568,3.799999952316284,4.71999979019165,3.130000114440918,7.599999904632568
2012-04-13 00:00:00,5.699999809265137,2.700000047683716,1.809999942779541,2.7699999809265137,9.800000190734863
2012-04-14 00:00:00,6.699999809265137,2.0999999046325684,1.1100000143051147,5.650000095367432,5.400000095367432
2012-04-15 00:00:00,10.600000381469727,0.800000011920929,1.4800000190734863,6.139999866485596,4.400000095367432
2012-04-16 00:00:00,13.300000190734863,5.5,1.4900000095367432,3.2799999713897705,7.199999809265137
2012-04-17 00:00:00,12.5,7.0,0.8199999928474426,3.6700000762939453,7.300000190734863
2012-04-18 00:00:00,12.5,7.5,1.4199999570846558,3.5899999141693115,9.5
2012-04-19 00:00:00,13.5,10.5,1.090000033378601,3.5399999618530273,9.600000381469727
2012-04-20 00:00:00,17.200000762939453,10.5,1.2200000286102295,6.139999866485596,2.700000047683716
2012-04-21 00:00:00,20.5,8.600000381469727,0.5799999833106995,5.949999809265137,0.0
2012-04-22 00:00:00,20.899999618530273,10.199999809265137,0.25999999046325684,0.7300000190734863,1.7000000476837158
2012-04-23 00:00:00,20.399999618530273,10.199999809265137,0.41999998688697815,2.059999942779541,0.5
2012-04-24 00:00:00,17.0,10.100000381469727,1.7000000476837158,3.1500000953674316,5.5
2012-04-25 00:00:00,15.0,9.600000381469727,1.940000057220459,2.940000057220459,7.699999809265137
2012-04-26 00:00:00,12.899999618530273,8.800000190734863,3.109999895095825,3.5199999809265137,7.900000095367432
2012-04-27 00:00:00,9.399999618530273,-1.600000023841858,1.5700000524520874,5.119999885559082,3.200000047683716
2012-04-28 00:00:00,13.899999618530273,2.5999999046325684,1.940000057220459,6.190000057220459,4.099999904632568
2012-04-29 00:00:00,18.200000762939453,4.5,2.7100000381469727,0.019999999552965164,1.600000023841858
2012-04-30 00:00:00,19.799999237060547,5.900000095367432,1.190000057220459,3.9700000286102295,9.800000190734863
2012-05-01 00:00:00,15.100000381469727,2.5999999046325684,1.6399999856948853,4.989999771118164,0.699999988079071
2012-05-02 00:00:00,13.300000190734863,0.10000000149011612,1.0499999523162842,4.599999904632568,4.300000190734863
2012-05-03 00:00:00,12.899999618530273,4.0,2.700000047683716,3.3299999237060547,9.800000190734863
2012-05-04 00:00:00,11.800000190734863,6.599999904632568,2.240000009536743,3.700000047683716,6.699999809265137
2012-05-05 00:00:00,11.5,-1.2999999523162842,2.5199999809265137,6.130000114440918,0.800000011920929
2012-05-06 00:00:00,15.199999809265137,-0.8999999761581421,3.509999990463257,0.15000000596046448,2.200000047683716
2012-05-07 00:00:00,17.899999618530273,-0.5,2.8299999237060547,0.4000000059604645,0.0
2012-05-08 00:00:00,19.399999618530273,0.8999999761581421,1.2200000286102295,0.05000000074505806,3.9000000953674316
